记录时间：2019-02-27 11:54:26,619 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 11:54:32,442 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 11:54:32,446 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 11:54:32,467 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 12:00:17,541 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 12:00:21,355 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 12:00:21,359 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 12:00:21,386 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 12:00:21,464 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 12:00:58,506 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 12:01:01,095 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 12:01:01,100 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 12:01:01,117 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 12:01:01,181 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 12:01:01,262 详细信息：生成文件：H:\CSV\DICS_SSO20190227120101.CSV
记录时间：2019-02-27 12:01:01,265 详细信息：**********执行【SSO权限申请-DICS】数据传输完毕**********
记录时间：2019-02-27 12:01:01,268 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-02-27 12:57:15,563 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 12:57:18,610 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 12:57:18,616 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 12:57:18,680 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 12:57:18,785 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:01:00,217 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:01:03,247 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:01:03,252 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:01:03,364 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:01:03,464 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:01:19,838 详细信息：生成文件：H:\CSV\DICS_SSO20190227130103.CSV
记录时间：2019-02-27 13:01:19,844 详细信息：**********执行【SSO权限申请-DICS】数据传输完毕**********
记录时间：2019-02-27 13:01:19,852 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-02-27 13:05:29,424 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:05:31,918 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:05:31,923 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:05:31,941 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:05:32,006 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:05:32,070 详细信息：生成文件：H:\CSV\DICS_SSO20190227130531.CSV
记录时间：2019-02-27 13:05:32,073 详细信息：**********执行【SSO权限申请-DICS】数据传输完毕**********
记录时间：2019-02-27 13:05:32,078 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-02-27 13:05:55,491 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:05:57,797 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:05:57,804 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:05:57,825 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:05:57,886 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:06:43,888 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:06:45,600 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:06:45,607 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:06:45,624 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:06:45,689 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:07:04,921 详细信息：生成文件：H:\CSV\DICS_SSO20190227130645.CSV
记录时间：2019-02-27 13:07:11,554 详细信息：**********执行【SSO权限申请-DICS】数据传输完毕**********
记录时间：2019-02-27 13:07:11,558 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-02-27 13:08:29,512 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:08:32,164 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:08:32,170 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:08:32,189 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:08:32,267 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:08:37,851 详细信息：生成文件：H:\CSV\DICS_SSO20190227130832.CSV
记录时间：2019-02-27 13:08:54,668 详细信息：**********执行【SSO权限申请-DICS】数据传输完毕**********
记录时间：2019-02-27 13:08:57,542 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-02-27 13:19:56,030 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:19:58,687 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:19:58,695 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:19:58,815 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:20:04,594 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:21:08,021 详细信息：生成文件：H:\CSV\DICS_SSO20190227131958.CSV
记录时间：2019-02-27 13:21:08,025 详细信息：**********执行【SSO权限申请-DICS】数据传输完毕**********
记录时间：2019-02-27 13:21:08,027 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-02-27 13:23:09,425 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:23:11,348 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:23:11,354 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:23:13,903 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:23:19,562 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:31:07,243 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:31:10,410 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:31:10,415 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:31:13,158 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:31:14,169 详细信息：《DICS_SSO》获取需处理数量：3条
记录时间：2019-02-27 13:31:14,327 详细信息：生成文件：H:\CSV\DICS_SSO20190227133110.CSV
记录时间：2019-02-27 13:31:14,330 详细信息：**********执行【SSO权限申请-DICS】数据传输完毕**********
记录时间：2019-02-27 13:31:14,333 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-02-27 13:31:16,620 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:31:47,230 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:31:49,823 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:31:49,828 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:31:49,845 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:31:49,923 详细信息：《DICS_SSO》获取需处理数量：0条
记录时间：2019-02-27 13:31:49,994 详细信息：生成文件：H:\CSV\DICS_SSO20190227133149.CSV
记录时间：2019-02-27 13:31:49,997 详细信息：**********执行【SSO权限申请-DICS】数据传输完毕**********
记录时间：2019-02-27 13:31:50,000 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-02-27 13:32:22,485 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-02-27 13:32:24,225 详细信息：获得手动触发启动参数：58
记录时间：2019-02-27 13:32:24,231 详细信息：**********执行【SSO权限申请-DICS】数据传输开始**********
记录时间：2019-02-27 13:32:24,249 详细信息：《DICS_SSO》数据装载
记录时间：2019-02-27 13:32:24,322 详细信息：《DICS_SSO》获取需处理数量：3条
