记录时间：2018-10-18 16:53:58,634 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-18 16:54:00,560 详细信息：获得手动触发启动参数：52
记录时间：2018-10-18 16:54:00,564 详细信息：**********执行【八爪鱼汇率回传】数据传输开始**********
记录时间：2018-10-18 16:54:00,566 详细信息：开始执行汇率回传
记录时间：2018-10-18 16:54:29,068 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-18 16:54:29,845 详细信息：获得手动触发启动参数：52
记录时间：2018-10-18 16:54:29,847 详细信息：**********执行【八爪鱼汇率回传】数据传输开始**********
记录时间：2018-10-18 16:54:29,848 详细信息：开始执行汇率回传
记录时间：2018-10-18 16:55:29,890 详细信息：文件dabanhl_20180920.txt移动至F:\Success\dabanhl_20180920.txt
记录时间：2018-10-18 16:55:29,892 详细信息：处理文件:【F:\dabanhl_20180920.txt】成功
记录时间：2018-10-18 16:55:34,161 详细信息：执行汇率回传完毕
记录时间：2018-10-18 16:55:34,163 详细信息：**********执行【八爪鱼汇率回传】数据传输完毕**********
记录时间：2018-10-18 16:55:34,165 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-18 16:56:31,853 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-18 16:56:41,766 详细信息：获得手动触发启动参数：52
记录时间：2018-10-18 16:56:41,768 详细信息：**********执行【八爪鱼汇率回传】数据传输开始**********
记录时间：2018-10-18 16:56:41,769 详细信息：开始执行汇率回传
记录时间：2018-10-18 16:56:51,706 详细信息：F:\dabanhl_20180916.txt为空文件
记录时间：2018-10-18 16:56:51,708 详细信息：文件dabanhl_20180916.txt移动至F:\Success\dabanhl_20180916.txt
记录时间：2018-10-18 16:56:54,912 详细信息：F:\dabanhl_20180917.txt为空文件
记录时间：2018-10-18 16:56:54,913 详细信息：文件dabanhl_20180917.txt移动至F:\Success\dabanhl_20180917.txt
记录时间：2018-10-18 16:56:55,503 详细信息：F:\dabanhl_20180918.txt为空文件
记录时间：2018-10-18 16:56:55,505 详细信息：文件dabanhl_20180918.txt移动至F:\Success\dabanhl_20180918.txt
记录时间：2018-10-18 16:56:56,419 详细信息：F:\dabanhl_20180919.txt为空文件
记录时间：2018-10-18 16:56:56,419 详细信息：文件dabanhl_20180919.txt移动至F:\Success\dabanhl_20180919.txt
记录时间：2018-10-18 16:56:56,420 详细信息：执行汇率回传完毕
记录时间：2018-10-18 16:56:56,421 详细信息：**********执行【八爪鱼汇率回传】数据传输完毕**********
记录时间：2018-10-18 16:56:56,423 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-18 17:02:37,422 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-18 17:02:38,346 详细信息：获得手动触发启动参数：52
记录时间：2018-10-18 17:02:38,347 详细信息：**********执行【八爪鱼汇率回传】数据传输开始**********
记录时间：2018-10-18 17:02:38,350 详细信息：开始执行汇率回传
记录时间：2018-10-18 17:02:38,610 详细信息：文件dabanhl_20180921.txt移动至F:\Success\dabanhl_20180921.txt
记录时间：2018-10-18 17:02:38,612 详细信息：处理文件:【F:\dabanhl_20180921.txt】成功
记录时间：2018-10-18 17:02:38,612 详细信息：执行汇率回传完毕
记录时间：2018-10-18 17:02:38,613 详细信息：**********执行【八爪鱼汇率回传】数据传输完毕**********
记录时间：2018-10-18 17:02:38,613 详细信息：--------------------------------程序结束--------------------------------

