记录时间：2018-10-16 15:04:32,758 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:07:12,022 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:07:13,861 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:07:13,863 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:07:13,864 详细信息：开始执行开票回传
记录时间：2018-10-16 15:07:54,028 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:07:54,817 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:07:54,818 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:07:54,820 详细信息：开始执行开票回传
记录时间：2018-10-16 15:08:19,767 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:08:21,346 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:08:21,347 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:08:21,348 详细信息：开始执行开票回传
记录时间：2018-10-16 15:12:56,462 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:12:57,682 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:12:57,684 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:12:57,685 详细信息：开始执行开票回传
记录时间：2018-10-16 15:12:58,550 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 15:12:58,551 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 15:13:04,243 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:13:05,050 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:13:05,051 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:13:05,052 详细信息：开始执行开票回传
记录时间：2018-10-16 15:13:05,253 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 15:13:05,254 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 15:13:10,411 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:13:11,001 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:13:11,002 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:13:11,003 详细信息：开始执行开票回传
记录时间：2018-10-16 15:13:11,169 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 15:13:11,169 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 15:13:23,026 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:13:23,556 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:13:23,557 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:13:23,559 详细信息：开始执行开票回传
记录时间：2018-10-16 15:14:15,731 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:14:16,265 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:14:16,266 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:14:16,267 详细信息：开始执行开票回传
记录时间：2018-10-16 15:14:45,953 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:14:46,703 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:14:46,704 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:14:46,705 详细信息：开始执行开票回传
记录时间：2018-10-16 15:19:29,873 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:19:30,614 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:19:30,615 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:19:30,633 详细信息：开始执行开票回传
记录时间：2018-10-16 15:19:31,203 详细信息：执行开票回传完毕
记录时间：2018-10-16 15:19:31,204 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 15:19:31,205 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 15:20:49,713 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:20:50,451 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:20:50,452 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:20:50,453 详细信息：开始执行开票回传
记录时间：2018-10-16 15:20:50,692 详细信息：执行开票回传完毕
记录时间：2018-10-16 15:20:50,692 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 15:20:50,693 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 15:22:15,270 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:22:15,864 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:22:15,867 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:22:15,868 详细信息：开始执行开票回传
记录时间：2018-10-16 15:22:16,143 详细信息：执行开票回传完毕
记录时间：2018-10-16 15:22:16,143 详细信息：**********执行【开票回传】数据传输完毕**********
