记录时间：2018-11-01 11:04:13,216 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:04:16,304 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:04:16,306 详细信息：**********执行【售后业务-DSCBJ】数据传输开始**********
记录时间：2018-11-01 11:04:49,178 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:04:50,125 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:04:50,126 详细信息：**********执行【售后业务-DSCBJ】数据传输开始**********
记录时间：2018-11-01 11:06:15,826 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:06:17,894 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:06:17,896 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:06:17,898 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:07:22,034 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:07:22,937 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:07:22,941 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:07:22,944 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:08:12,304 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:08:14,214 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:08:14,215 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:08:14,217 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:08:15,284 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\SALES_4011_20181101.TSV
记录时间：2018-11-01 11:08:15,387 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PUR_4011_20181101.TSV
记录时间：2018-11-01 11:08:15,387 详细信息：DSC_B执行开票申请数据凭证回传成功
记录时间：2018-11-01 11:08:15,388 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传
记录时间：2018-11-01 11:11:26,073 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:11:27,876 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:11:27,878 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:11:27,880 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:11:29,567 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\SALES_4011_20181101.TSV
记录时间：2018-11-01 11:11:29,658 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PUR_4011_20181101.TSV
记录时间：2018-11-01 11:11:29,658 详细信息：DSC_B执行开票申请数据凭证回传成功
记录时间：2018-11-01 11:11:29,658 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传
记录时间：2018-11-01 11:12:18,680 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:12:20,286 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:12:20,287 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:12:20,289 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:12:20,930 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\SALES_4011_20181101.TSV
记录时间：2018-11-01 11:12:21,065 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PUR_4011_20181101.TSV
记录时间：2018-11-01 11:12:21,066 详细信息：DSC_B执行开票申请数据凭证回传成功
