记录时间：2019-03-06 10:16:58,321 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-06 10:17:01,623 详细信息：获得手动触发启动参数：59
记录时间：2019-03-06 10:17:01,627 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-06 10:17:01,635 详细信息：执行主数据同步
记录时间：2019-03-06 10:17:01,739 详细信息：执行EDI行主数据同步
记录时间：2019-03-06 10:17:01,754 详细信息：文件:Delta_invoice_20190304130722 - 副本.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722 - 副本.csv
记录时间：2019-03-06 10:17:01,762 详细信息：文件:Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-06 10:17:02,154 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：4条
记录时间：2019-03-06 10:17:02,163 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：0条，详细见错误日志
记录时间：2019-03-06 10:17:02,168 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-06 10:17:02,172 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-06 10:17:56,029 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-06 10:17:59,341 详细信息：获得手动触发启动参数：60
记录时间：2019-03-06 10:17:59,349 详细信息：**********执行【DABAN数据同步回EDI】数据传输开始**********
记录时间：2019-03-06 10:17:59,364 详细信息：《DABANToEDI》数据装载
记录时间：2019-03-06 10:17:59,547 详细信息：《DABANToEDI》获取需处理数量：4条
记录时间：2019-03-06 10:17:59,637 详细信息：生成文件：F:\EDI\EDIToDABAN\Daban_invoice_20190306101759.CSV
记录时间：2019-03-06 10:17:59,641 详细信息：**********执行【DABAN数据同步回EDI】数据传输完毕**********
