记录时间：2018-10-08 09:26:23,788 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-08 09:26:25,791 详细信息：获得手动触发启动参数：2
记录时间：2018-10-08 09:26:25,792 详细信息：**********执行【SAP_DIC主数据同步BPM】数据传输开始**********
记录时间：2018-10-08 09:26:25,795 详细信息：执行主数据同步
记录时间：2018-10-08 09:26:26,100 详细信息：执行SAP1成本中心主数据同步
记录时间：2018-10-08 09:26:26,837 详细信息：SAPLinks.Bussiness.SAPDataToBPM.SAP1.MAIN_COSTCENTER(F:\CCD.TSV)【成功数据】：62条
记录时间：2018-10-08 09:26:26,837 详细信息：SAPLinks.Bussiness.SAPDataToBPM.SAP1.MAIN_COSTCENTER(F:\CCD.TSV)【错误数据过滤】：0条
记录时间：2018-10-08 09:26:26,839 详细信息：**********执行【SAP_DIC主数据同步BPM】数据传输完毕**********
记录时间：2018-10-08 09:26:26,840 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-08 09:26:33,363 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-08 09:26:34,046 详细信息：获得手动触发启动参数：2
记录时间：2018-10-08 09:26:34,050 详细信息：**********执行【SAP_DIC主数据同步BPM】数据传输开始**********
记录时间：2018-10-08 09:26:34,054 详细信息：执行主数据同步
记录时间：2018-10-08 09:26:34,171 详细信息：执行SAP1成本中心主数据同步
记录时间：2018-10-08 13:12:33,931 详细信息：--------------------------------程序启动--------------------------------
