记录时间：2018-08-06 09:35:33,614 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-08-06 09:35:34,965 详细信息：获得手动触发启动参数：2
记录时间：2018-08-06 09:35:34,966 详细信息：**********执行【SAP_DIC主数据同步BPM】数据传输开始**********
记录时间：2018-08-06 09:35:34,967 详细信息：执行主数据同步
记录时间：2018-08-06 09:35:37,692 详细信息：执行SAP1供应商行主数据同步
记录时间：2018-08-06 09:38:30,289 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-08-06 09:38:37,008 详细信息：获得手动触发启动参数：2.1
记录时间：2018-08-06 09:38:37,009 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输开始**********
记录时间：2018-08-06 09:38:37,010 详细信息：执行主数据同步
记录时间：2018-08-06 09:38:37,120 详细信息：执行SAP2供应商行主数据同步
记录时间：2018-08-06 09:38:37,402 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输完毕**********
记录时间：2018-08-06 09:38:37,402 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-08-06 09:38:49,197 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-08-06 09:38:50,044 详细信息：获得手动触发启动参数：2.1
记录时间：2018-08-06 09:38:50,046 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输开始**********
记录时间：2018-08-06 09:38:50,047 详细信息：执行主数据同步
记录时间：2018-08-06 09:38:50,153 详细信息：执行SAP2供应商行主数据同步
记录时间：2018-08-06 09:38:50,445 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输完毕**********
记录时间：2018-08-06 09:38:50,445 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-08-06 09:39:05,890 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-08-06 09:39:46,160 详细信息：获得手动触发启动参数：2.1
记录时间：2018-08-06 09:39:46,162 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输开始**********
记录时间：2018-08-06 09:39:46,163 详细信息：执行主数据同步
记录时间：2018-08-06 09:42:30,460 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-08-06 09:42:31,554 详细信息：获得手动触发启动参数：2.1
记录时间：2018-08-06 09:42:31,555 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输开始**********
记录时间：2018-08-06 09:42:31,556 详细信息：执行主数据同步
记录时间：2018-08-06 09:42:31,663 详细信息：执行SAP2供应商行主数据同步
记录时间：2018-08-06 09:42:47,347 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-08-06 09:42:48,369 详细信息：获得手动触发启动参数：2.1
记录时间：2018-08-06 09:42:48,370 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输开始**********
记录时间：2018-08-06 09:42:48,372 详细信息：执行主数据同步
记录时间：2018-08-06 09:42:48,478 详细信息：执行SAP2供应商行主数据同步
记录时间：2018-08-06 09:42:59,353 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输完毕**********
记录时间：2018-08-06 09:42:59,355 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-08-06 09:43:04,050 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-08-06 09:43:05,185 详细信息：获得手动触发启动参数：2.1
记录时间：2018-08-06 09:43:05,186 详细信息：**********执行【SAP_DCC主数据同步BPM】数据传输开始**********
记录时间：2018-08-06 09:43:05,187 详细信息：执行主数据同步
记录时间：2018-08-06 09:43:05,294 详细信息：执行SAP2供应商行主数据同步
